name,sex,ID_card,phone_number,email,company,career,credit_card_number,credit_limit,application_date,address
熊亮,M,310116196303184211,14745375337,dengmin@hotmail.com,巨奥科技有限公司,采购主管,213115349630466,13364,2020-03-10 04:01:12,西藏自治区上海县华龙刘路v座 936238
赵秀芳,M,469021195908305436,15627730114,wei85@hotmail.com,佳禾网络有限公司,产品经理/主管,30024597650146,175055,2020-01-29 06:37:39,广东省汕尾县高坪天津街z座 419431
王刚,M,542431194006025033,18091311430,guiying81@gmail.com,鑫博腾飞网络有限公司,射频工程师,30153436178892,18757,2020-03-14 10:02:30,台湾省秀荣县怀柔赵路T座 791445
陈桂花,F,330702199011028198,18187365554,juanxiao@gmail.com,晖来计算机传媒有限公司,艺术/设计,373107455359556,121100,2020-05-08 17:56:22,西藏自治区欣县大东南宁街p座 826865
母浩,M,431382200112154193,15576797091,na86@gmail.com,天益传媒有限公司,首席运营官COO,560161146629,182903,2019-09-23 02:36:35,广西壮族自治区张家港市静安南宁路A座 644431
王冬梅,M,360730195406244189,18761993243,lei88@hotmail.com,晖来计算机传媒有限公司,其他,30010887423294,20158,2019-10-26 14:39:59,福建省敏县长寿赵街H座 261474
许丽娟,F,360725199707063872,18928045585,lichao@hotmail.com,万迅电脑传媒有限公司,造型师,4331333645724,164418,2019-11-13 14:56:40,广西壮族自治区海门县白云孔路m座 853721
刘玲,M,220723199911210223,15830024521,pengyong@gmail.com,惠派国际公司网络有限公司,其他,4332738912133663,128920,2020-05-06 00:28:40,黑龙江省昆明市沙市祁街M座 581552
马冬梅,M,540000198212191454,15258687419,jyu@yahoo.com,济南亿次元信息有限公司,汽车质量管理,4557588042213,21251,2020-06-09 19:40:44,甘肃省长春市友好上海街V座 618098
张淑珍,F,620000197707189431,15753498593,tfan@hotmail.com,商软冠联网络有限公司,综合业务专员,3544058970645599,25620,2020-06-15 17:54:10,四川省利市南湖杭州街h座 574297
王亮,M,330205197605073415,15696682585,liqian@yahoo.com,富罳信息有限公司,Web前端开发,060424438160,53128,2020-07-12 06:07:03,新疆维吾尔自治区济南市清浦台北街l座 820873
苏春梅,F,450923199511280795,14735975690,kangqiang@yahoo.com,联软科技有限公司,导游/旅行顾问,348743900971512,19439,2019-11-17 13:56:28,浙江省合肥市梁平哈尔滨路a座 515619
徐秀芳,M,411724198610013582,13809222288,bxiang@hotmail.com,黄石金承传媒有限公司,科研管理人员,502023173201,24889,2020-04-15 22:53:40,北京市柳市海港西宁街Z座 631044
王娜,F,410102195612132678,15644075220,yang81@gmail.com,商软冠联传媒有限公司,团购业务员,4575607750820770,4293,2019-11-25 00:20:15,福建省沈阳市怀柔南昌路v座 288405
石玲,F,440983193410267695,15301303994,xiuying78@yahoo.com,时空盒数字传媒有限公司,小学教师,213115510248114,7008,2019-08-22 10:23:41,海南省兴安盟市萧山吴路Y座 225330
武云,M,21030320010128880X,13474901257,min65@gmail.com,鑫博腾飞网络有限公司,漂染工,3523977937215417,23499,2020-06-21 20:26:22,河北省阜新市上街巢湖路J座 435985
陈雷,M,371523194006243236,18169882743,xiacao@gmail.com,中建创业网络有限公司,产品总监,560124291488,111414,2020-06-21 19:40:52,青海省鹏县西夏傅街y座 430549
谭芳,M,141102198911033142,18544120614,ping83@yahoo.com,迪摩网络有限公司,其他,30314094623393,30028,2019-09-14 14:32:58,浙江省雪县秀英梁街o座 166711
苏桂香,M,310105199304057438,15974137511,juanlei@hotmail.com,商软冠联网络有限公司,预结算员,4322925974055716353,39247,2020-08-03 00:16:30,福建省志强县上街哈尔滨路q座 273690
王晨,F,430681198304136829,18169373191,dsong@gmail.com,快讯传媒有限公司,会务/会展经理,4221291672529170401,177199,2020-03-28 23:32:34,湖北省佛山县双滦武汉街t座 756349
李桂英,M,610830198209252789,18800547851,jingchen@gmail.com,恒聪百汇信息有限公司,移动通信工程师,30534383029545,174051,2020-03-04 04:45:50,新疆维吾尔自治区丽丽市吉区吴街V座 905972
许丹,F,23020119790320279X,13985018194,pingshi@yahoo.com,易动力传媒有限公司,板房/楦头/底格出格师,4010393900767098743,130495,2020-01-22 00:59:41,广东省浩市涪城宜都路m座 798434
李桂芝,F,440825193906105404,15522903923,qyao@yahoo.com,戴硕电子信息有限公司,注塑工,3522074436632507,6749,2020-01-12 16:22:33,山东省莹县金平成都路c座 859452
秦桂兰,F,370684197108057689,13424309751,jiangmin@gmail.com,方正科技传媒有限公司,变压器与磁电工程师,4730762275299679,179054,2019-10-05 14:56:21,海南省春梅市滨城宁德路B座 350638
孙红梅,F,370831196509258733,15849866044,minliao@gmail.com,毕博诚信息有限公司,宠物护理/美容,4091641947373422,132546,2020-05-15 02:07:18,上海市丽市沙湾吴街t座 397644
张成,M,410621199403151340,13450493645,qinjun@gmail.com,天开科技有限公司,项目管理,3569407297054474,187645,2020-01-13 09:27:05,海南省桂珍县海陵沈阳街d座 741346
刘辉,F,532927196207183417,13042358226,xiulanshen@yahoo.com,明腾科技有限公司,电镀工,4070151306563428,113220,2019-10-29 05:00:08,山东省兰州市安次巢湖路P座 761502
崔玉英,F,150223195603268665,18219303500,lyuan@gmail.com,南康科技有限公司,硫化工,342739013683123,49930,2019-08-24 14:12:32,新疆维吾尔自治区玉英市门头沟惠州路Y座 180245
梁颖,F,341100198605143815,18613854519,xiuying25@hotmail.com,鑫博腾飞网络有限公司,网站架构设计师,30001064205711,127340,2020-04-07 00:13:38,宁夏回族自治区柳州县普陀永安街Y座 648452
陈峰,M,220722193702016228,18812954890,bqian@hotmail.com,精芯信息有限公司,仪器/仪表/计量分析师,6011059910502574,161411,2020-05-27 13:34:51,安徽省林市魏都齐齐哈尔街L座 584026
司瑞,F,440300194001285025,15517684862,pingqin@gmail.com,创汇信息有限公司,资料员,2237807948126635,134511,2019-08-27 09:25:53,西藏自治区巢湖市高明巢湖路i座 532989
李秀荣,M,140602195006222202,15892543757,qiang04@yahoo.com,富罳信息有限公司,影视策划/制作人员,3563436955168629,38364,2020-01-16 22:19:32,北京市红霞市和平吴路F座 837307
许建国,F,150622194503204577,18634720982,ming55@yahoo.com,中建创业科技有限公司,机械工程师,3511770954208074,119619,2020-07-11 04:40:28,河北省琳县海陵武汉街s座 429124
李磊,F,440103195907054306,15275533702,lei37@yahoo.com,创亿网络有限公司,质量管理/测试主管(QA/QC主管),213141187411769,84546,2019-10-03 10:00:08,河北省秀珍县锡山兴城街I座 336471
雷海燕,F,623022195302067374,15864633175,li26@gmail.com,鑫博腾飞科技有限公司,其他,6011637536558086,160114,2019-12-16 14:33:27,青海省海口县合川金街U座 243216
杨丹丹,F,513433199602048224,13164825339,yuyang@hotmail.com,鑫博腾飞传媒有限公司,旅游产品销售,6519280848848155,143781,2019-10-15 08:37:54,贵州省六盘水市六枝特荆门街d座 943004
王玉梅,F,370883195609162036,13017408405,weichang@yahoo.com,迪摩科技有限公司,采购经理,4160696381479396,120359,2020-07-16 01:31:54,四川省香港县新城刘路o座 981960
郭秀云,M,140121194502182219,15770003682,kmeng@hotmail.com,惠派国际公司信息有限公司,体育运动教练,30055667496259,181592,2020-07-01 23:42:35,安徽省海门县长寿重庆街a座 772619
王金凤,F,511424197604131585,15734863676,tianwei@yahoo.com,开发区世创传媒有限公司,俄语翻译,4834738753752827684,137768,2020-01-04 15:59:56,河南省太原县白云孙路x座 626748
张浩,F,542624199910193019,13809440507,wluo@hotmail.com,四通信息有限公司,电脑操作员/打字员,583944830160,7857,2019-10-30 07:55:47,山西省建军县清河王街S座 569334
赵小红,F,652925199811190558,14590788157,guiying05@gmail.com,思优科技有限公司,样衣工,36823748416958,83220,2019-08-24 15:14:15,新疆维吾尔自治区惠州县西峰徐路l座 389822
邓杰,M,654028195112081305,14585528612,jun52@yahoo.com,华成育卓信息有限公司,其他,38534446750832,40386,2020-06-05 14:53:23,山西省畅市崇文台北街U座 377367
苏建国,F,513300198511015358,13967705828,dmo@hotmail.com,创汇网络有限公司,保险核保,180036198967453,156307,2019-10-24 12:35:29,河北省玲市永川尚路b座 401644
杨慧,M,330106198901123144,18060135180,jliu@gmail.com,万迅电脑传媒有限公司,运输经理/主管,38073183866568,153708,2020-03-05 09:28:02,云南省峰市沙湾张家港街B座 371266
孙玉,M,532927193812133852,13258185035,yan83@hotmail.com,泰麒麟信息有限公司,电子商务经理/主管,4199221998938074733,63750,2020-01-21 01:21:32,河南省长沙市牧野柯街d座 449663
林俊,M,371501200112218560,13724757981,dengxia@yahoo.com,东方峻景网络有限公司,技术文员/助理,3551604405544681,80793,2019-12-18 06:31:33,贵州省宇县长寿贵阳街d座 953887
陈娟,M,420683196106126023,15540861037,vqiu@gmail.com,创亿网络有限公司,交通运输服务,344608871658659,2056,2020-02-11 11:43:23,青海省石家庄县平山东莞街i座 537454
罗丹,F,310108194709135365,13518475919,liyin@yahoo.com,菊风公司信息有限公司,烫金工,2286770153015804,138788,2020-06-19 18:36:19,四川省沈阳市山亭合山路p座 301202
罗红霞,F,321324193702129228,13827513061,dliu@gmail.com,合联电子网络有限公司,美容助理,676380350618,70653,2020-04-30 08:20:44,北京市柳市江北刘街o座 912655
林静,F,370702199904029953,18747052609,yanpeng@yahoo.com,海创信息有限公司,理货员,3543639237369965,192617,2020-05-11 07:47:03,北京市佛山市永川施路r座 126547
孙桂英,M,370406193410294150,15153307092,pcai@yahoo.com,鸿睿思博网络有限公司,飞行器设计与制造,4853049134279096711,110179,2020-07-26 06:39:58,陕西省洁县合川济南街P座 790580
刘红梅,F,320302193709032024,18005357354,qiang35@gmail.com,富罳信息有限公司,合伙人,6529585149742180,139323,2020-04-10 20:16:06,澳门特别行政区秀梅县高港李街T座 519572
兰芳,M,34022519500116017X,13338398382,leiyan@hotmail.com,合联电子科技有限公司,电分操作员,4104218590982976,46233,2020-06-10 00:15:54,宁夏回族自治区浩县上街王路j座 936524
杨红霞,F,610526194304233421,15607318872,ming40@yahoo.com,开发区世创科技有限公司,前台迎宾,5390004514506707,145470,2020-05-24 10:23:07,广东省柳州市花溪胡街h座 459941
谭勇,F,431024199210118422,14528892247,sunguiying@gmail.com,中建创业网络有限公司,钳工,6586882321780264,118373,2019-11-16 19:38:25,山西省关岭县南长曾路T座 963048
张想,F,445101195102221973,15105289048,li83@hotmail.com,方正科技信息有限公司,采购,676158251659,90449,2020-04-07 08:07:00,广西壮族自治区巢湖市璧山马街c座 555208
赵晶,F,440500193904217003,15197793216,na71@yahoo.com,雨林木风计算机网络有限公司,区域销售总监,6011246327310051,77251,2019-12-06 14:23:12,宁夏回族自治区贵阳市西峰张街p座 645669
徐伟,M,440512193602063497,13563090050,jiemao@hotmail.com,襄樊地球村网络有限公司,项目执行/协调人员,4329397907695088365,39779,2020-05-20 02:19:31,湖北省小红县高港济南街r座 999216
朱建,M,620401195105187657,15012690521,guiying74@yahoo.com,华成育卓信息有限公司,项目执行/协调人员,30448368947722,36740,2020-02-13 06:15:24,内蒙古自治区彬市徐汇贾街T座 189145
刘华,F,310107197709278857,18728067972,msong@gmail.com,精芯信息有限公司,销售总监,4780958675399618838,128972,2020-07-13 12:02:58,江苏省飞市沈河张路b座 527301
姜琴,M,230203195811136530,18549059309,duanli@yahoo.com,万迅电脑信息有限公司,钳工,3551730644554718,43948,2020-03-20 12:10:00,甘肃省北京市普陀胡街t座 369287
李刚,M,340121193607227367,13065178083,chaosong@hotmail.com,兰金电子信息有限公司,行长/副行长,4416039728859081544,110787,2019-09-03 02:43:38,广西壮族自治区坤市兴山李街H座 232225
都林,M,130521197205150310,13020466009,wei38@yahoo.com,鸿睿思博科技有限公司,其他,3501550867632921,165984,2019-12-14 07:52:35,台湾省马鞍山县大兴上海路m座 745810
任淑华,F,150522193101174758,18500828866,laijun@gmail.com,恩悌传媒有限公司,证券/期货/外汇经纪人,4049110439117,34768,2020-08-17 22:55:51,安徽省长春县永川郭街x座 190194
位桂兰,F,513330195302083367,15876711433,jieyu@hotmail.com,太极传媒有限公司,机械机床,4450519558134526692,40089,2020-05-30 17:01:24,山西省广州市锡山刘路d座 339996
王倩,F,230305197808227279,18534798350,ftang@gmail.com,易动力网络有限公司,房地产内勤,2283324340125820,78023,2019-10-09 21:51:16,新疆维吾尔自治区丽丽县朝阳马街i座 824031
谢红霞,F,43052419670919761X,15551067028,taolin@gmail.com,万迅电脑网络有限公司,脚本开发工程师,2436319775188885,45323,2020-08-10 14:25:02,天津市嘉禾市丰都石家庄街E座 891426
陈丽华,M,150222198702053368,15690403606,xiangli@hotmail.com,维旺明网络有限公司,物业机电维修工,5432205098364419,131584,2020-03-19 17:37:52,吉林省婷婷市长寿邯郸路c座 296589
叶丽,F,150725196202086697,15750801520,luxiulan@yahoo.com,晖来计算机科技有限公司,汽车制造,213130065899740,31273,2020-07-21 01:42:28,山西省秀兰县高坪谢街O座 452503
陈健,F,451229199503306511,13590319229,xiaoxia@yahoo.com,开发区世创科技有限公司,电子/电器维修工程师/技师,374807687348595,24932,2020-03-07 15:42:24,河南省雪梅县华龙刘街R座 129359
莫红霞,M,15020419920304176X,13938565818,na24@gmail.com,飞海科技网络有限公司,兼职店员,2269099982956918,53686,2020-02-29 17:44:53,天津市杭州县大东时街f座 540801
龚婷,F,421201196702180063,18265621242,caiwei@hotmail.com,黄石金承科技有限公司,网络/在线客服,4787823347438,170273,2020-03-07 14:11:46,吉林省郑州市兴山王街a座 653148
文金凤,M,370523198005054289,18827400615,chenyan@hotmail.com,南康信息有限公司,项目经理,30258425374509,140661,2020-02-23 09:18:05,海南省磊市梁平赵路V座 277844
熊俊,M,620821194002292756,13430423648,pingli@hotmail.com,MBP软件网络有限公司,总裁助理/总经理助理,503887242603,116765,2020-06-11 06:31:39,北京市浩市大兴广州街u座 762363
朱丹丹,M,370321199510070619,13824212409,jun88@gmail.com,明腾网络有限公司,印刷工,676246139478,123838,2020-04-15 23:47:03,安徽省西宁市浔阳齐齐哈尔街k座 315511
朱俊,M,230207197309199784,14577802829,ming49@gmail.com,华泰通安传媒有限公司,大数据开发/分析,349620202399577,170033,2019-09-19 03:42:17,山东省雷市双滦潮州路o座 938187
龙琴,M,431200199811150145,18579334993,ganghuang@gmail.com,华成育卓传媒有限公司,医药销售经理/主管,4367605958412269,167608,2019-11-02 22:09:23,河南省晨市牧野刘路g座 143751
陈建华,M,370703197501238731,18510177062,ywang@hotmail.com,迪摩网络有限公司,产品/品牌专员,4933861042412,168210,2020-06-21 18:52:43,山西省武汉市翔安沈阳路K座 728000
段建华,M,341823197807201938,15819887784,na42@yahoo.com,维涛网络有限公司,网络维修,4760904405763,13588,2019-10-07 09:11:33,黑龙江省马鞍山县蓟州西宁路e座 441226
蒋明,F,440106197306075564,14533789683,taoping@gmail.com,银嘉网络有限公司,药品市场推广经理,568866940998,184692,2020-02-21 00:53:14,西藏自治区沈阳市牧野汕尾街k座 679307
赵桂芝,M,445203196303117817,15273911453,ryao@gmail.com,艾提科信信息有限公司,工业工程师,38078418176360,113554,2020-04-13 15:19:58,广东省嘉禾市江北太原路K座 388676
郎东,M,540000198707190170,15532182029,ming43@yahoo.com,同兴万点科技有限公司,浇注工,3514785414979095,172263,2020-01-25 09:38:16,广东省丹市秀英福州街W座 961850
